;Human_presence;Agricultural_landuse;Resistance;Speed_of_Recovery;Amplification
Adesmia_volckmannii;1.55206155718732;-1.64092199698885;-0.154528458348845;1.13573358488331;0.08972011744711
Senecio_filaginoides;1.55206155718732;-1.64092199698885;-0.372979268118561;0.661634185647933;0.354486999486102
Pinus_nigra;0.683350380243664;0.399952755608102;-0.890757514999566;0.066992185805395;7.02176249589284
Pinus_nigra_2;-0.318560295474828;-0.561593372639918;-0.894050416906888;0.0884182740436953;6.79226281754845
Persoonia_glaucescens;0.52714882857544;-0.37480030034585;-0.111707735997633;0.108806697215954;5.72317487401318
Persoonia_bargoensis;8.63259033111538;-1.26916049893508;-0.370033297647935;0.139151866643311;6.73481272385167
Persoonia_bargoensis_2;8.63259033111538;-1.26916049893508;-0.440415781243126;0.0767053444166749;7.99118019661721
Acacia_suaveolens;16.4773169264689;-5.92248933296452;-0.00486012010091925;0.111694445296859;1.66858734084525
Encephalartos_villosus;2.29802004848837;3.76163371292236;-0.292927202488167;0.0848322857277371;1.36413837137446
Encephalartos_cycadifolius;-0.159966624934361;-0.0695709598281909;-0.842207429362673;0.039268244215624;2.31505157980377
Verticordia_staminosa;0.67123145632763;2.46753507304078;-2.52957976728607;0.219723145430139;1.33079664984739
Dypsis_decaryi;-0.269452264552341;0.0950524773407284;-1.07147494867482;0.0862107648832695;5.39505175740701
Dypsis_decaryi_2;-0.269452264552341;0.0950524773407284;-1.05179632510653;0.12888906718449;5.28994495395367
Dypsis_decaryi_3;-0.269452264552341;0.0950524773407284;-0.854779575897028;0.167569367720141;5.47279812158303
Euterpe_edulis;10.6775627947573;-4.58781041808531;-0.494792337620857;0.112117114350779;4.76306544161875
Geonoma_pohliana_weddelliana;8.28410776967324;-5.68879908781312;-0.204056395845457;0.311359228217654;0.96514033978811
Araucaria_muelleri;0.0847163157691705;0.12771926665593;-0.0156532594333531;0.00575650735394326;0.728748609876568
Araucaria_muelleri_2;0.280739800458394;0.319348690090093;-0.012660744060434;0.0117236298014169;1.24065340395316
Araucaria_muelleri_3;0.151695786134659;2.22729124514935;-0.0129752146497463;0.00557315614136406;3.58501093414375
Araucaria_muelleri_4;-0.608718417098188;-0.201463140269741;-0.0246713293046953;0.00925321571203924;1.57264596793772
Gardenia_actinocarpa;-0.730669547897234;-0.281548033894504;-2.66810945319546;0.312327879277831;5.38459687326498
Gardenia_actinocarpa_2;-0.730669547897234;-0.281548033894504;-2.3287833880562;0.136610988655;3.98549980615716
