"","Human_presence","Agricultural_landuse","Resistance","Speed_of_Recovery","Amplification"
"Adesmia_volckmannii",1.55206155718808,-1.64092199698911,0.824257594851881,1.44207423332662,1.63031057041969
"Senecio_filaginoides",1.55206155718808,-1.64092199698911,0.713093878497207,0.106183602207105,1.04436229224015
"Pinus_nigra",0.683350380243903,0.399952755607442,0.989030076950062,0.00319627555458075,1.99613482610201
"Pinus_nigra_2",-0.318560295474664,-0.561593372640167,0.707917418769488,1.31751961892907,3.55786455173565
"Himantopus_novaezelandiae",-0.969754801910634,-0.655475737971009,0.573994809620894,0.0194735250645857,0.276243369322665
"Chelodina_expansa",8.42943060721021,-5.19704868135891,2.06724150020994,0.099634779517523,0.131804924113907
"Chelodina_expansa_2",8.42943060721021,-5.19704868135891,0.670755554945459,0.279863399928318,0.0466151656413931
"Emydura_macquarii",8.42943060721021,-5.19704868135891,1.41869998026179,1.20582309389483,0.00985362754017793
"Emydura_macquarii_2",8.42943060721021,-5.19704868135891,0.736381301930826,0.135540223420066,0.604804514745041
"Calyptorhynchus_lathami",1.6427881764991,3.09961977716915,0.549521608598614,0.0520176920349298,1.54933505300035
"Calyptorhynchus_lathami_2",1.6427881764991,3.09961977716915,1.87989012688544,0.0895312322294449,1.94680459625222
"Cryptophis_nigrescens",-0.568221104063731,-0.116136593806044,0.813763556592586,0.163154985473844,0.321201475489664
"Hoplocephalus_bungaroides",-0.568221104063731,-0.116136593806044,0.524045062767404,4.51307756570582,2.36930536773562
"Persoonia_glaucescens",0.527148828575557,-0.374800300345898,0.706044704459619,0.421766333079695,1.39784820276472
"Persoonia_bargoensis",8.63259033111579,-1.26916049894183,0.828533747712504,0.210903902596538,0.229051015346139
"Persoonia_bargoensis_2",8.63259033111579,-1.26916049894183,1.03219081380391,2.01487562881412,1.65836648014724
"Bostrychia_hagedash",10.8417836317282,-4.42227277826433,0.836795428807924,3.39147774818152,1.60893357435876
"Falco_peregrinus",11.2584784262025,-4.53975235113239,0.522725827979958,0.143556629657984,0.693849203865382
"Acacia_suaveolens",16.4773169264685,-5.92248933296827,0.857722164954349,0.0608115621352793,0.239405642607577
"Encephalartos_villosus",2.29802004848852,3.76163371292253,0.337949745798864,0.00188919808633827,0.0463385786985424
"Encephalartos_cycadifolius",-0.159966624934195,-0.0695709598284699,0.475977491865637,0.909296913375639,0.0957021310983587
"Verticordia_staminosa",0.671231456327731,2.46753507304147,0.575742842653395,0.578967808654062,1.94184446158845
"Anthropoides_paradiseus",0.560320804235294,0.289520311731289,2.16542634987223,0.901714002912141,0.817073995104259
"Panthera_pardus",0.658794171941842,0.757923375147033,1.17499951825252,3.60639692958806,2.51248422212568
"Dypsis_decaryi",-0.269452264552243,0.0950524773406373,2.37185361939199,0.168863749776924,0.0620797309050211
"Dypsis_decaryi_2",-0.269452264552243,0.0950524773406373,0.457049512130435,0.203550386961767,0.488887421512052
"Dypsis_decaryi_3",-0.269452264552243,0.0950524773406373,0.107353166017702,0.416343531925858,0.202093642149355
"Onychogalea_fraenata",-1.23011698433009,-0.824763074975758,0.861710204797132,1.3639137662772,1.62988933357863
"Euterpe_edulis",10.6775627947569,-4.58781041808301,2.50611485083089,1.552100161981,1.31999958844353
"Geonoma_pohliana_weddelliana",8.28410776967257,-5.68879908781003,0.862217230373897,3.25018321502398,0.247047065216748
"Araucaria_muelleri",0.084716315769141,0.127719266655673,1.03741624880633,0.296865568517908,1.27380814876267
"Araucaria_muelleri_2",0.28073980045838,0.319348690089756,0.298614442350071,0.588279232893576,0.211495949208672
"Araucaria_muelleri_3",0.151695786134694,2.22729124515033,1.54968942281367,0.00952320695856177,2.99003897660944
"Araucaria_muelleri_4",-0.608718417098261,-0.201463140269713,0.563266757413099,0.0589162923645527,1.03000150056204
"Didelphis_aurita",2.13250765860642,-1.38250375610295,1.24062151162711,0.583058889663657,0.0898154241606768
"Propithecus_edwardsi",0.506324116444774,0.641914772302483,1.5709766807508,0.545201094854661,0.4442249945394
"Propithecus_edwardsi_2",0.506324116444774,0.641914772302483,1.17685681663911,6.03755453143857,0.0656889642440332
"Gardenia_actinocarpa",-0.730669547897316,-0.281548033894426,1.69608195809752,0.537937763629211,0.656881965706532
"Gardenia_actinocarpa_2",-0.730669547897316,-0.281548033894426,2.0061887222813,0.41447835056479,0.057847097111189
"Periandra_mediterranea",0.355301439502484,0.779514644709667,0.65398514739954,1.20021152614584,0.130544178554578
"Miconia_albicans",0.355301439502484,0.779514644709667,1.03629233801344,2.66648972676785,4.88548851620896
"Rourea_induta",0.355301439502484,0.779514644709667,0.364974638666182,0.0568174006131137,0.0838847030899619
"Rourea_induta_2",0.355301439502484,0.779514644709667,1.77293338324454,1.30861877170537,0.164634485677415
"Myrsine_guianensis",0.355301439502484,0.779514644709667,2.55528720478797,0.187672606687871,0.254974113749804
"Roupala_montana",0.355301439502484,0.779514644709667,1.77710786557933,0.462922176379646,0.700408831736159
"Swietenia_macrophylla",-0.878457031965953,-0.436255870409347,0.789503747337807,1.23153235475384,0.084761874551217
"Geonoma_schottiana",0.585575611334688,0.929328627515666,0.699519713099469,0.0740916547563333,2.6992196646938
"Parkinsonia_aculeata",0.822872199115314,0.612004008449767,0.514076496839853,0.000285535064285984,0.807730342395484
"Ptychosperma_macarthurii",9.41166503216238,-5.7412699501718,0.909842944512406,0.477400392139067,0.129642131177902
"Heliconia_metallica",-0.860494962303741,-0.630677074501592,1.85831319547722,0.512454778236029,1.3278736019
"Heliconia_metallica_2",-0.860494962303741,-0.630677074501592,0.396557425783472,2.42374894476427,0.109689068339268
"Heliconia_metallica_3",-0.860494962303741,-0.630677074501592,0.956281966480259,0.196678527704606,4.73207194204307
"Heliconia_metallica_4",-0.860494962303741,-0.630677074501592,2.56606065629088,1.4368021278702,3.05020330920957
"Bertholletia_excelsa",-0.148684521056056,-0.0200806956779188,0.597547627238378,0.826692681482386,1.52686857902642
"Bertholletia_excelsa_2",-0.148684521056056,-0.0200806956779188,1.12217823688935,4.89690596249456,0.333164009277235
"Bertholletia_excelsa_3",-0.815934343868534,-0.38757725329979,1.44457460900157,0.0844644726463,0.183999960751383
"Bertholletia_excelsa_4",-0.815934343868534,-0.38757725329979,0.25749139079694,0.604873765275273,1.6635467069466
"Himatanthus_drasticus",1.69408399769724,2.51547278998611,1.10672522974352,0.199134706083596,0.386843847839895
"Himatanthus_drasticus_2",1.69408399769724,2.51547278998611,0.576599967542605,0.00633105454336122,0.580263309286306
"Himatanthus_drasticus_3",1.69408399769724,2.51547278998611,0.556092552471032,0.208224606406323,0.312482701094983
