"","Human_presence","Agricultural_landuse","Resistance","Speed_of_Recovery","Amplification"
"Adesmia_volckmannii",1.55206155718808,-1.64092199698911,0.163375276321537,1.66056128551687,11.9307798172246
"Senecio_filaginoides",1.55206155718808,-1.64092199698911,0.0944779429145592,5.35509382582794,0.666496297423139
"Pinus_nigra",0.683350380243903,0.399952755607442,0.450441434761477,5.92829744978362,11.9476940059387
"Pinus_nigra_2",-0.318560295474664,-0.561593372640167,0.0549941708651681,6.7951167415796,9.54264060168616
"Himantopus_novaezelandiae",-0.969754801910634,-0.655475737971009,0.840437207710254,9.43519655047431,10.2930918970665
"Chelodina_expansa",8.42943060721021,-5.19704868135891,0.201976751108484,6.97647833636364,3.29966528768866
"Chelodina_expansa_2",8.42943060721021,-5.19704868135891,0.183290580968769,8.43092357190953,8.58907499770023
"Emydura_macquarii",8.42943060721021,-5.19704868135891,0.625426452126308,4.74106145132746,0.106901229483055
"Emydura_macquarii_2",8.42943060721021,-5.19704868135891,0.527616451000041,3.74563345828058,8.33265324344187
"Calyptorhynchus_lathami",1.6427881764991,3.09961977716915,0.197906433139333,0.575060936914537,3.72838928383595
"Calyptorhynchus_lathami_2",1.6427881764991,3.09961977716915,0.210726928819385,2.65436157146126,1.83502875176804
"Cryptophis_nigrescens",-0.568221104063731,-0.116136593806044,0.943465745117787,9.2532047270508,4.54454517970603
"Hoplocephalus_bungaroides",-0.568221104063731,-0.116136593806044,0.610845144681791,4.58188471105745,1.8352313097041
"Persoonia_glaucescens",0.527148828575557,-0.374800300345898,0.451253083786756,0.126751900204747,6.9225583887994
"Persoonia_bargoensis",8.63259033111579,-1.26916049894183,0.239396016988479,3.30702500842346,3.98767905379955
"Persoonia_bargoensis_2",8.63259033111579,-1.26916049894183,0.911977921389042,1.2488494459813,12.7246600610301
"Bostrychia_hagedash",10.8417836317282,-4.42227277826433,0.854797667091356,4.3394683276004,5.59152510865362
"Falco_peregrinus",11.2584784262025,-4.53975235113239,0.760577126330181,3.3576993532498,2.27136309578688
"Acacia_suaveolens",16.4773169264685,-5.92248933296827,0.0920303716586929,0.680520736083119,0.377095453461219
"Encephalartos_villosus",2.29802004848852,3.76163371292253,0.945586285594174,5.12893005274783,2.63702707430438
"Encephalartos_cycadifolius",-0.159966624934195,-0.0695709598284699,0.59796515789386,6.0299182473634,12.682081976147
"Verticordia_staminosa",0.671231456327731,2.46753507304147,0.708365241819814,4.05824908433892,10.0409512992424
"Anthropoides_paradiseus",0.560320804235294,0.289520311731289,0.49954927156251,0.830614391084892,11.8744241583435
"Panthera_pardus",0.658794171941842,0.757923375147033,0.843631522695615,6.34347287634746,11.8332051536868
"Dypsis_decaryi",-0.269452264552243,0.0950524773406373,0.821740290218957,2.28243845071411,6.04627975534251
